,Unnamed: 0,avg_relevance_score,clicks,cpc,cpi,cpm,ctr,cvr,dt,fb_account_id,frequency,image_url,impressions,mobile_app_install,reach,spend
22,22,,0,,,0.0,0.0,,20161004,520655041449659,1.0,https://scontent.xx.fbcdn.net/t45.1600-4/12532652_6045966923648_1203784243_n.png,13,0,13.0,0.0
23,23,,0,,,0.0,0.0,,20161005,520655041449659,1.0,https://scontent.xx.fbcdn.net/t45.1600-4/12532652_6045966923648_1203784243_n.png,6,0,6.0,0.0
24,24,,0,,,0.0,0.0,,20161006,520655041449659,1.0,https://scontent.xx.fbcdn.net/t45.1600-4/12532652_6045966923648_1203784243_n.png,10,0,10.0,0.0
25,25,,0,,,0.0,0.0,,20161007,520655041449659,1.0,https://scontent.xx.fbcdn.net/t45.1600-4/12532652_6045966923648_1203784243_n.png,4,0,4.0,0.0
26,26,,0,,,0.0,0.0,,20161008,520655041449659,1.0,https://scontent.xx.fbcdn.net/t45.1600-4/12532652_6045966923648_1203784243_n.png,7,0,7.0,0.0
27,27,,1,0.0,,0.0,4.7619047619,0.0,20161009,520655041449659,1.0,https://scontent.xx.fbcdn.net/t45.1600-4/12532652_6045966923648_1203784243_n.png,21,0,21.0,0.0
28,28,-1.0,5,0.0620000004768,,0.919881312713,1.48367952522,0.0,20161003,520655041449659,1.11589403974,https://scontent.xx.fbcdn.net/t45.1600-4/14057527_6049565260848_290673029_n.png,337,0,302.0,0.310000002384
29,29,-1.0,8,0.0137499999255,0.054999999702,0.497737553864,3.61990950226,25.0,20161004,520655041449659,1.15104166667,https://scontent.xx.fbcdn.net/t45.1600-4/14057527_6049565260848_290673029_n.png,221,2,192.0,0.109999999404
30,30,-1.0,10,0.0119999997318,,0.655737690261,5.46448087432,0.0,20161005,520655041449659,1.1226993865,https://scontent.xx.fbcdn.net/t45.1600-4/14057527_6049565260848_290673029_n.png,183,0,163.0,0.119999997318
31,31,-1.0,7,0.0171428567597,,0.833333314707,4.86111111111,0.0,20161006,520655041449659,1.14285714286,https://scontent.xx.fbcdn.net/t45.1600-4/14057527_6049565260848_290673029_n.png,144,0,126.0,0.119999997318
32,32,-1.0,3,0.0133333330353,,0.246913574728,1.85185185185,0.0,20161007,520655041449659,1.23664122137,https://scontent.xx.fbcdn.net/t45.1600-4/14057527_6049565260848_290673029_n.png,162,0,131.0,0.0399999991059
33,33,-1.0,2,0.0299999993294,,0.465116268674,1.5503875969,0.0,20161008,520655041449659,1.22857142857,https://scontent.xx.fbcdn.net/t45.1600-4/14057527_6049565260848_290673029_n.png,129,0,105.0,0.0599999986589
34,34,-1.0,12,0.0116666664059,,0.406976735089,3.48837209302,0.0,20161009,520655041449659,1.30798479087,https://scontent.xx.fbcdn.net/t45.1600-4/14057527_6049565260848_290673029_n.png,344,0,263.0,0.139999996871
35,35,3.47962383304,31,0.205806454103,1.0633333462,2.26401706075,1.10007097232,19.3548387097,20161003,520655041449659,1.14320486815,https://scontent.xx.fbcdn.net/t45.1600-4/14058417_6049372100048_563869194_n.png,2818,6,2465.0,6.38000007719
36,36,-0.400000039581,17,0.0941176482422,,0.785854626776,0.834970530452,0.0,20161004,520655041449659,1.21262656343,https://scontent.xx.fbcdn.net/t45.1600-4/14058417_6049372100048_563869194_n.png,2036,0,1679.0,1.60000002012
37,37,-1.0,22,0.0872727261687,1.91999997571,1.18811879685,1.36138613861,4.54545454545,20161005,520655041449659,1.13802816901,https://scontent.xx.fbcdn.net/t45.1600-4/14058417_6049372100048_563869194_n.png,1616,1,1420.0,1.91999997571
38,38,-1.0,12,0.0533333338487,,0.728929392009,1.36674259681,0.0,20161006,520655041449659,1.1270860077,https://scontent.xx.fbcdn.net/t45.1600-4/14058417_6049372100048_563869194_n.png,878,0,779.0,0.640000006184
39,39,-1.0,9,0.0799999992467,0.71999999322,0.813559314373,1.01694915254,11.1111111111,20161007,520655041449659,1.19111709287,https://scontent.xx.fbcdn.net/t45.1600-4/14058417_6049372100048_563869194_n.png,885,1,743.0,0.71999999322
40,40,-1.0,10,0.0490000005811,,0.581257420891,1.1862396204,0.0,20161008,520655041449659,1.20773638968,https://scontent.xx.fbcdn.net/t45.1600-4/14058417_6049372100048_563869194_n.png,843,0,698.0,0.490000005811
41,41,-1.0,13,0.253076930459,3.29000009596,3.0128206007,1.19047619048,7.69230769231,20161009,520655041449659,1.22696629213,https://scontent.xx.fbcdn.net/t45.1600-4/14058417_6049372100048_563869194_n.png,1092,1,890.0,3.29000009596
42,42,0.898120401461,589,0.0623259748536,12.2366663963,1.5772287514,2.5306122449,0.509337860781,20161003,521250254723471,1.61676854682,https://fbcdn-creative-a.akamaihd.net/hads-ak-xfa1/t45.1600-4/13720876_6057389934509_250106989_n.png,23275,3,14396.0,36.7099991888
43,43,0.841509433198,283,0.0561837455514,15.8999999911,1.33602218226,2.37795143265,0.353356890459,20161004,521250254723471,1.59402625234,https://fbcdn-creative-a.akamaihd.net/hads-ak-xfa1/t45.1600-4/13720876_6057389934509_250106989_n.png,11901,1,7466.0,15.8999999911
44,44,0.269058284817,48,0.0929166649779,,1.31641083794,1.41676505313,0.0,20161005,521250254723471,1.21129781909,https://fbcdn-creative-a.akamaihd.net/hads-ak-xfa1/t45.1600-4/13720876_6057389934509_250106989_n.png,3388,0,2797.0,4.45999991894
45,45,0.724000002959,71,0.0704225361032,,1.39860141632,1.98601398601,0.0,20161006,521250254723471,1.28597122302,https://fbcdn-creative-a.akamaihd.net/hads-ak-xfa1/t45.1600-4/13720876_6057389934509_250106989_n.png,3575,0,2780.0,5.00000006333
46,46,-0.565217384262,20,0.138000003248,,1.75684281666,1.27307447486,0.0,20161007,521250254723471,1.18209179834,https://fbcdn-creative-a.akamaihd.net/hads-ak-xfa1/t45.1600-4/13720876_6057389934509_250106989_n.png,1571,0,1329.0,2.76000006497
47,47,0.198863613706,16,0.21999999322,,2.01488259389,0.915855752719,0.0,20161008,521250254723471,1.15695364238,https://fbcdn-creative-a.akamaihd.net/hads-ak-xfa1/t45.1600-4/13720876_6057389934509_250106989_n.png,1747,0,1510.0,3.51999989152
